movie_id,title,runtime,rating_encoded,is_korean,genre,open_date,open_month,open_day_of_week,is_summer,is_winter,is_holiday_release,holiday_nearby_count,director_avg_audi,director_movie_count,lead_actor_avg_audi,lead_actor_movie_count,cast_max_star_power,distributor_avg_audi,distributor_movie_count,producer_avg_audi,producer_movie_count,same_week_releases,market_avg_audi_7d,trend_pre7_avg,trend_pre7_max,trend_growth_rate,relative_search_share,has_trend_data,total_audience,log_audience,hit_class
20190864,울프 콜,115.0,2.0,0.0,액션,2020-03-05,3.0,3.0,0,0,0,0,0.0,0,185163.5555555556,3,482258.1666666667,256370.0,42,0.0,0,1,86839.0,2.472857142857143,5.55,1.6588934321492461,0.0469501312335958,1,17802,9.787122261404862,0
20190885,사탄의 인형,90.0,3.0,0.0,공포(호러),2019-06-20,6.0,3.0,0,0,0,0,3481.0,1,1597045.0,1,2102403.0,205960.693877551,49,0.0,0,4,519543.4285714286,4.74,6.89,2.2436099715998736,0.019429857234387598,1,57218,10.954641290044536,0
20190923,킹 오브 프리즘 -샤이니 세븐 스타즈- Ⅲ 레오×유우×알렉,70.0,1.0,0.0,애니메이션,2019-05-02,5.0,3.0,0,0,0,1,30182.0,5,0.0,0,0.0,16593.75,4,0.0,0,8,1085296.2857142857,0.0,0.0,0.0,0.0,0,1455,7.283448228756631,0
20190969,최선의 삶,109.0,2.0,1.0,드라마,2021-09-01,9.0,2.0,0,0,0,0,1595111.0,1,4083831.2222222225,2,4242103.5,41744.67857142857,28,0.0,0,2,178156.42857142858,1.7742857142857142,2.85,2.284488044144696,0.01180464079440673,1,6590,8.79346036105272,0
20191029,82년생 김지영,118.0,1.0,1.0,드라마,2019-10-23,10.0,2.0,0,0,0,0,1450964.0833333333,12,9497754.38888889,2,14241429.0,0.0,0,0.0,0,5,309710.0,12.545714285714284,21.38,1.5405486004315359,0.2521154957483695,1,3671152,15.116016339627356,1
20191048,온워드: 단 하루의 기적,102.0,0.0,0.0,애니메이션,2020-06-17,6.0,2.0,0,0,0,0,860213.0,1,3171620.408333333,8,4679411.625,3088450.4,60,0.0,0,2,102488.28571428571,4.017142857142857,11.92,1.964052896256286,0.03573862345725751,1,415524,12.93729805993931,0
20191061,007 노 타임 투 다이,163.0,1.0,0.0,액션,2021-09-29,9.0,2.0,0,0,0,2,123705.0,1,1931685.4850427348,6,3860880.6666666665,715740.0445859872,157,0.0,0,3,138021.7142857143,12.708571428571428,18.86,1.9889255717937442,0.07373429650657373,1,1222296,14.016242433373076,0
20191085,이 멋진 세계에 축복을! 붉은 전설,89.0,2.0,0.0,애니메이션,2020-02-06,2.0,3.0,0,0,0,0,0.0,0,41594.0,1,41594.0,17542.4,5,0.0,0,3,251057.0,0.1,0.26,2.843137254901961,0.000628094416959042,1,4932,8.503702601233739,0
20191109,페인 앤 글로리,113.0,3.0,0.0,드라마,2020-02-05,2.0,2.0,0,0,0,0,0.0,0,927280.8333333333,6,1057720.5,329234.2894736842,38,0.0,0,3,281666.4285714286,1.9257142857142857,3.09,2.4335058370441685,0.015293649578917044,1,24086,10.089427554852794,0
20191141,시민 노무현,98.0,1.0,1.0,다큐멘터리,2019-05-23,5.0,3.0,0,0,0,0,0.0,0,1941863.9444444443,2,4886352.5,228226.7142857143,7,175989.0,1,1,481596.14285714284,1.6485714285714288,3.26,2.6828603495270165,0.006850879196163508,1,9616,9.171287644712482,0
20191143,원더랜드,113.0,1.0,1.0,드라마,2024-06-05,6.0,2.0,0,0,0,1,2475180.1666666665,6,3910876.211111111,8,4431264.666666667,0.0,0,233601.33333333334,3,2,210824.42857142858,67.28142857142858,100.0,2.5397204871253316,0.47376484334016883,1,620887,13.338905990382518,0
20191162,녹턴,97.0,1.0,1.0,다큐멘터리,2022-08-18,8.0,3.0,1,0,0,1,0.0,0,0.0,0,0.0,19414.666666666668,3,0.0,0,1,623341.7142857143,1.8314285714285714,2.77,2.2453149629283673,0.015274942726767667,1,6739,8.815815203906352,0
20191183,제미니 맨,116.0,1.0,0.0,액션,2019-10-09,10.0,2.0,0,0,1,2,1780099.5,2,4205386.416666667,3,8336253.5,847238.0833333334,12,0.0,0,6,722493.8571428572,16.502857142857145,100.0,4.012364975165851,0.036287761151891584,1,384222,12.858978392178603,0
20191243,장르만 로맨스,113.0,2.0,1.0,드라마,2021-11-17,11.0,2.0,0,0,0,0,1320526.2,10,6963390.333333333,1,10300613.0,0.0,0,0.0,0,5,193601.57142857142,49.612857142857145,100.0,2.5075150602047183,0.16690426982721046,1,518361,13.158429118864309,0
20191342,폴라로이드,88.0,2.0,0.0,공포(호러),2019-06-06,6.0,3.0,0,0,1,1,0.0,0,0.0,0,0.0,210179.02083333334,48,0.0,0,2,918050.5714285715,1.7328571428571429,4.83,1.7562741312741312,0.009206871561031293,1,3481,8.155362120328135,0
20191401,업사이드,125.0,1.0,0.0,코미디,2019-06-13,6.0,3.0,0,0,0,1,269823.0,2,958193.8787878788,6,2106903.0,357899.9696969697,33,0.0,0,1,843310.1428571428,13.174285714285714,24.21,0.8658558722091124,0.159418012146866,1,39503,10.58415721158496,0
20191408,21 브릿지: 테러 셧다운,99.0,2.0,0.0,스릴러,2020-01-01,1.0,2.0,0,1,1,2,0.0,0,3578654.1805555555,5,8304702.0,318261.94444444444,18,0.0,0,2,1010048.1428571428,0.06142857142857143,0.18,1.5714285714285714,0.0008373034933080628,1,125493,11.74001322764616,0
20191503,화이트데이: 부서진 결계,90.0,2.0,1.0,공포(호러),2021-10-06,10.0,2.0,0,0,0,2,0.0,0,2378708.235042735,15,2516123.205128205,217161.26153846155,65,0.0,0,4,163078.42857142858,1.6600000000000001,3.75,2.6631016042780753,0.0072407370838028185,1,4414,8.392763113038061,0
20191589,말레피센트 2,118.0,1.0,0.0,어드벤처,2019-10-17,10.0,3.0,0,0,0,0,3031761.0,1,1470953.9305555553,6,2396700.1666666665,3238909.725490196,51,0.0,0,2,356424.5714285714,2.501428571428572,4.39,1.946637020566982,0.02186006158243029,1,1437219,14.178221250072351,0
20191601,극장판 엉덩이 탐정: 화려한 사건 수첩,68.0,0.0,0.0,애니메이션,2019-07-11,7.0,3.0,1,0,0,0,0.0,0,1802786.9722222222,4,3750964.0,574491.2954545454,88,0.0,0,3,848513.1428571428,0.46142857142857147,0.71,2.225539733578319,0.003299489693073194,1,129621,11.772377801580307,0
20191604,애프터,105.0,2.0,0.0,드라마,2019-08-22,8.0,3.0,1,0,0,1,0.0,0,0.0,0,0.0,293921.3888888889,36,0.0,0,1,813840.7142857143,15.968571428571428,34.94,1.3229968043555451,0.17704696805233663,1,50437,10.828500138222152,0
20191741,앵그리 버드 2: 독수리 왕국의 침공,96.0,0.0,0.0,애니메이션,2019-08-07,8.0,2.0,1,0,0,0,0.0,0,2534455.6111111115,3,3998649.3333333335,1288278.0,23,0.0,0,0,1028914.5714285715,0.2614285714285714,0.59,2.108294930875576,0.0019544384667114995,1,168241,12.033158698085286,0
20191781,북클럽,103.0,2.0,0.0,코미디,2019-06-20,6.0,3.0,0,0,0,0,0.0,0,769974.7222222221,2,1325765.0,81818.04761904762,21,0.0,0,4,519543.4285714286,1.3114285714285714,5.9,2.9670329670329667,0.004065003264878188,1,9942,9.204624064980074,0
20191844,킹 오브 프리즘 –샤이니 세븐 스타즈- IV 루이x신x언노운,69.0,2.0,0.0,애니메이션,2019-05-30,5.0,3.0,0,0,0,1,25394.166666666668,6,0.0,0,0.0,13566.0,5,0.0,0,2,496383.71428571426,0.0,0.0,0.0,0.0,0,1629,7.396335293800808,0
20191845,난폭한 기록,90.0,3.0,1.0,범죄,2019-07-11,7.0,3.0,1,0,0,0,0.0,0,8526830.666666666,1,11358191.0,66880.5,2,0.0,0,3,848513.1428571428,0.8071428571428572,1.82,0.8770114347803591,0.014646127078094998,1,12040,9.39607277189222,0
20191951,블랙 위도우,133.0,1.0,0.0,액션,2021-07-07,7.0,2.0,1,0,0,0,2661.0,1,1584272.3333333333,6,3975902.0,2805527.294117647,68,0.0,0,3,168810.85714285713,56.55714285714286,100.0,2.4382633045170583,0.33604894868501123,1,2957005,14.899687827916086,0
20192001,피터팬: 후크 선장과 결투의 날,88.0,0.0,0.0,애니메이션,2019-05-30,5.0,3.0,0,0,0,1,0.0,0,0.0,0,0.0,0.0,0,0.0,0,2,496383.71428571426,0.0014285714285714286,0.01,1.2857142857142858,1.0445947964554808e-05,1,9582,9.167745974343763,0
20192022,마담 싸이코,98.0,2.0,0.0,공포(호러),2019-06-26,6.0,2.0,0,0,0,0,0.0,0,60010.63888888888,7,108768.44444444444,0.0,0,0.0,0,0,653276.7142857143,8.877142857142859,11.43,0.790836780146357,0.1908927032787629,1,40579,10.611030613379805,0
20192083,터미네이터: 다크 페이트,128.0,2.0,0.0,액션,2019-10-30,10.0,2.0,0,0,0,0,3310699.0,1,258518.33333333334,3,596901.0,3204261.826923077,52,0.0,0,2,382830.71428571426,42.20428571428572,51.59,2.0414513977984416,0.7696154466601314,1,2400137,14.691036793665113,0
20192101,히트맨,109.0,2.0,1.0,코미디,2020-01-22,1.0,2.0,0,1,0,2,0.0,0,10312847.333333334,1,12166659.0,0.0,0,5638636.0,1,2,321636.4285714286,32.44714285714286,100.0,2.307926798288844,0.8913898047172203,1,2404799,14.692977297980848,0
20192151,미드소마,147.0,3.0,0.0,공포(호러),2019-07-11,7.0,3.0,1,0,0,0,156693.0,1,1956920.4166666665,1,1969146.5,0.0,0,0.0,0,3,848513.1428571428,4.644285714285715,7.71,2.9506262479578873,0.025048537509150516,1,61564,11.027848806226972,0
20192193,도굴,114.0,1.0,1.0,범죄,2020-11-04,11.0,2.0,0,0,0,0,12801369.0,1,2673914.1915204674,11,3123181.75,0.0,0,3838167.0,1,3,125071.42857142857,14.317142857142857,37.45,1.7434416533296222,0.1386007156198663,1,1544146,14.249982212288822,0
20192194,인질,93.0,2.0,1.0,액션,2021-08-18,8.0,2.0,1,0,0,1,0.0,0,7880320.476190477,3,9407840.0,0.0,0,4849144.818181818,11,5,320235.0,14.394285714285713,21.28,2.093105382330335,0.08524960021817551,1,1634819,14.307043264509831,0
20192206,백두산,128.0,1.0,1.0,어드벤처,2019-12-19,12.0,3.0,0,1,0,1,5507540.0,1,5583714.208333333,6,5832839.625,0.0,0,988559.0,2,3,472038.71428571426,19.041428571428575,38.14,1.8497599156235258,0.13461077426694623,1,8242478,15.924811706154077,1
20192222,사일런스,90.0,2.0,0.0,공포(호러),2019-07-17,7.0,2.0,1,0,0,0,481043.0,2,1531183.0,4,1963805.5,202985.84,50,0.0,0,0,559825.5714285715,1.762857142857143,2.69,0.418565210017525,0.07514749964314603,1,52388,10.866451924607954,0
20192240,작은 아씨들,134.0,0.0,0.0,드라마,2020-02-12,2.0,2.0,0,0,0,0,78102.6,5,886289.9663299663,10,2123139.6363636362,1157119.6666666667,27,0.0,0,0,251984.7142857143,9.91,14.99,2.079602686066033,0.08509735155573445,1,850030,13.653028098389699,0
20192271,부니베어: 원시시대 대모험,89.0,0.0,0.0,애니메이션,2020-10-22,10.0,3.0,0,0,0,0,32012.5,2,63573.75,4,85246.0,129214.625,8,0.0,0,3,86945.14285714286,0.1742857142857143,0.32,2.501708817498291,0.0009853656696714819,1,5006,8.518592212329946,0
