movie_id,title,runtime,rating_encoded,is_korean,genre,open_month,open_day_of_week,is_summer,is_winter,is_holiday_release,holiday_nearby_count,director_avg_audi,director_movie_count,lead_actor_avg_audi,lead_actor_movie_count,cast_max_star_power,distributor_avg_audi,distributor_movie_count,producer_avg_audi,producer_movie_count,same_week_releases,market_avg_audi_7d,total_audience,log_audience,hit_class
20200474,기적,116.0,1,1,드라마,9.0,2.0,0,0,0,3,2594517.0,1,5696669.208333333,5,8606330.0,0.0,0,2307181.0,2,2,124083.57142857143,710396,13.473579247678208,1
20219767,리스펙트,145.0,1,0,드라마,9.0,2.0,0,0,0,0,0.0,0,1241416.875,2,1757702.25,1023363.4210526316,57,0.0,0,3,209231.14285714287,15824,9.669346247012378,0
20209138,좋은 사람,101.0,1,1,미스터리,9.0,3.0,0,0,0,0,0.0,0,5594964.333333333,1,10300613.0,58858.625,8,11910.2,5,3,191267.85714285713,4252,8.355379895253634,0
20210250,잔나비 판타스틱 올드패션드 리턴즈! x 넌센스 Ⅱ,104.0,0,1,공연,9.0,3.0,0,0,0,0,0.0,0,0.0,0,0.0,119250.0,4,125570.0,10,3,191267.85714285713,16046,9.68327719519936,0
20216801,"극장판 포켓몬스터: 정글의 아이, 코코",98.0,0,0,애니메이션,9.0,2.0,0,0,0,3,138039.0,1,0.0,0,0.0,531490.3902439025,41,0.0,0,2,124083.57142857143,212712,12.267699118267515,1
20218604,극장판 짱구는 못말려: 격돌! 낙서왕국과 얼추 네 명의 용사들,103.0,0,0,애니메이션,9.0,2.0,0,0,0,3,0.0,0,670565.5277777778,5,873099.0,341330.36,25,0.0,0,2,124083.57142857143,206996,12.240459579388862,1
20219311,말리그넌트,111.0,3,0,스릴러,9.0,2.0,0,0,0,3,5023929.0,1,1032780.5,4,1032780.5,1474908.2,80,0.0,0,2,124083.57142857143,40453,10.607920805113041,0
20219770,캔디맨,91.0,2,0,미스터리,9.0,2.0,0,0,1,3,0.0,0,1459681.0,0,1459681.0,989115.7118644068,59,0.0,0,0,223051.14285714287,48799,10.795485591841238,0
20210142,스틸워터,138.0,2,0,범죄,10.0,2.0,0,0,0,2,0.0,0,496667.0,4,496667.0,115613.27272727272,11,0.0,0,4,163078.42857142858,22114,10.004011390302427,0
20191061,007 노 타임 투 다이,163.0,1,0,액션,9.0,2.0,0,0,0,2,0.0,0,1879578.5555555553,3,3860880.6666666665,973443.7666666667,60,0.0,0,3,138021.7142857143,1222296,14.016242433373076,2
20218758,수색자,110.0,2,1,스릴러,9.0,2.0,0,0,0,2,0.0,0,6344142.222222223,2,9030131.0,24961.8,10,0.0,0,3,138021.7142857143,19548,9.88067941321012,0
20219826,용과 주근깨 공주,121.0,0,0,애니메이션,9.0,2.0,0,0,0,2,103588.0,2,2138.5,1,3717.0,153390.2619047619,42,0.0,0,3,138021.7142857143,63985,11.066419588412538,0
20210610,레드 아워,93.0,2,0,액션,9.0,3.0,0,0,0,3,0.0,0,1858065.1666666667,2,3657537.0,259668.6,5,0.0,0,0,249704.14285714287,1022,6.930494765951626,0
20203824,노회찬6411,126.0,1,1,다큐멘터리,10.0,3.0,0,0,0,1,0.0,0,0.0,0,0.0,128996.95238095238,21,605943.6666666666,3,2,124665.42857142857,24514,10.107040454085334,0
20218052,베놈 2: 렛 데어 비 카니지,97.0,2,0,액션,10.0,2.0,0,0,0,1,1407582.375,8,1804268.6666666663,4,2862455.6666666665,1023715.5151515151,33,0.0,0,2,101543.28571428571,2121625,14.56769333380055,2
20191503,화이트데이: 부서진 결계,90.0,2,1,공포(호러),10.0,2.0,0,0,0,2,0.0,0,2509741.4444444445,6,2771304.3333333335,191456.56666666668,60,0.0,0,4,163078.42857142858,4414,8.392763113038061,0
20210168,F20,104.0,2,1,스릴러,10.0,2.0,0,0,0,2,0.0,0,2561607.716666667,8,2793123.0,151311.06976744186,43,0.0,0,4,163078.42857142858,22575,10.024642674092595,0
20210242,쁘띠 마망,72.0,0,0,드라마,10.0,3.0,0,0,0,2,49186.5,4,0.0,0,0.0,52791.22222222222,9,0.0,0,4,149200.7142857143,10481,9.257414779362112,0
20210182,매직 스쿨: 초보마법사 아우라의 대모험,90.0,0,0,애니메이션,10.0,3.0,0,0,0,2,0.0,0,0.0,0,0.0,168979.74509803922,51,0.0,0,4,149200.7142857143,7903,8.975124239427704,0
20010007,고양이를 부탁해,112.0,2,1,드라마,10.0,4.0,0,0,0,0,0.0,0,0.0,0,0.0,8144.0,1,0.0,0,0,305076.0714285714,655,6.486160788944089,0
20218789,피어썸,82.0,2,1,공포(호러),10.0,3.0,0,0,0,2,0.0,0,3225055.0666666664,2,4570402.0,2322.0,1,0.0,0,4,149200.7142857143,2515,7.830425617820331,0
20200302,십개월의 미래,95.0,1,1,드라마,10.0,3.0,0,0,0,1,0.0,0,2685198.1296296297,8,2783926.0,0.0,0,1517.0,1,2,124665.42857142857,10959,9.302007560502007,0
20217508,실: 인연의 시작,130.0,1,0,드라마,10.0,3.0,0,0,0,1,0.0,0,53659.0,4,87081.0,165882.11538461538,52,0.0,0,2,124665.42857142857,1868,7.533158807455563,0
20219096,타다: 대한민국 스타트업의 초상,91.0,0,1,다큐멘터리,10.0,3.0,0,0,0,1,0.0,0,4444416.233333333,4,10300613.0,523900.4285714286,42,0.0,0,2,124665.42857142857,8310,9.025335217553026,0
20210304,스페이스 독 3: 트로피컬 어드벤처,69.0,0,0,애니메이션,10.0,3.0,0,0,0,1,19771.0,1,0.0,0,0.0,24538.07894736842,38,0.0,0,2,124665.42857142857,3705,8.217708406845306,0
20210087,듄,155.0,1,0,SF,10.0,2.0,0,0,0,0,479910.0,2,3900207.3444444444,4,4887581.833333333,1457198.87654321,81,0.0,0,4,210305.57142857142,1656287,14.3200895118497,2
20219892,스피릿,87.0,0,0,애니메이션,9.0,2.0,0,0,0,3,0.0,0,1490675.777777778,3,2912467.3333333335,1005992.051724138,58,0.0,0,2,124083.57142857143,10288,9.23883064237581,0
